### SYSTEM         = Linux ubuntu 4.4.0-87-generic #110-Ubuntu SMP Tue Jul 18 12:55:35 UTC 2017 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 7G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,3,4
### CORE_SEQ       = 0,1,2,3


### MODEL_NAME     = Intel Xeon E312xx (Sandy Bridge, IBRS update)
### PHYSICAL_CHIPS = 4
### CORE_PER_CHIP  = 1
### SMT_LEVEL      = 1


## hdd:ext4:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.014431 5145.000000 171.417541 30.4815 0.06 0 0.34 1.15 119.61 0 0 -1.42707e+08 0 -4.20442e-08 -0 -2.38251e-07 -8.05848e-07 -8.38152e-05 -0 -0 100 -0

## hdd:ext4_no_jnl:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.018154 3822.000000 127.322955 30.2062 0.1 0 0.06 0.32 119.66 0 0 -6.8975e+07 0 -1.4498e-07 -0 -8.69881e-08 -4.63937e-07 -0.000173483 -0 -0 100 -0

## hdd:xfs:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.016275 3877.000000 129.163262 30.1798 0.09 0 0.14 0.3 119.64 0 0 -5.51008e+07 0 -1.63338e-07 -0 -2.54081e-07 -5.44458e-07 -0.00021713 -0 -0 100 -0

## hdd:btrfs:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.044871 6608.000000 219.937702 30.8864 0.08 0 0.76 3.6 117.16 0 0.01 -1.60545e+08 0 -4.98302e-08 -0 -4.73387e-07 -2.24236e-06 -7.29763e-05 -0 -6.22877e-09 100 -0

## hdd:f2fs:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.014054 4070.000000 135.603140 30.1617 0.09 0 0.09 0.24 119.7 0 0 -5.03439e+07 0 -1.78771e-07 -0 -1.78771e-07 -4.76723e-07 -0.000237765 -0 -0 100 -0

## hdd:ext4:DWOL:3:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

3 30.018711 3851.000000 128.286654 30.1856 0.08 0 0.07 0.17 89.66 0 0 -8.20565e+07 0 -9.74939e-08 -0 -8.53071e-08 -2.07175e-07 -0.000109266 -0 -0 100 -0

## hdd:ext4_no_jnl:DWOL:3:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

3 30.018730 4097.000000 136.481457 30.2059 0.06 0 0.09 0.21 89.43 0 0.01 -1.2804e+08 0 -4.68604e-08 -0 -7.02906e-08 -1.64012e-07 -6.98455e-05 -0 -7.81007e-09 100 -0

## hdd:xfs:DWOL:3:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

