### SYSTEM         = Linux ubuntu 4.4.0-87-generic #110-Ubuntu SMP Tue Jul 18 12:55:35 UTC 2017 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 7G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,3,4
### CORE_SEQ       = 0,1,2,3


### MODEL_NAME     = Intel Xeon E312xx (Sandy Bridge, IBRS update)
### PHYSICAL_CHIPS = 4
### CORE_PER_CHIP  = 1
### SMT_LEVEL      = 1


## hdd:ext4:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.002273 41747952.000000 1391492.959621 30.1875 0.35 0 9.45 0.32 0.45 0 0.06 -3.41842e+09 0 -1.02387e-08 -0 -2.76444e-07 -9.36106e-09 -1.3164e-08 -0 -1.7552e-09 100 -0

## hdd:ext4_no_jnl:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.004480 54071123.000000 1802101.622789 30.1965 0.47 0 9.39 0.38 0 0 0.03 -4.23364e+09 0 -1.11016e-08 -0 -2.21795e-07 -8.97573e-09 -0 -0 -7.0861e-10 100 -0

## hdd:xfs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.005299 25410636.000000 846871.600132 30.1675 0.37 0 9.62 0.32 0 0 0.04 1.4225e+10 0 2.60106e-09 0 6.76274e-08 2.24956e-09 0 0 2.81195e-10 100 0

## hdd:btrfs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.001883 15453411.000000 515081.365767 30.1121 0.27 0 9.85 0.2 0 0 0.07 -4.24355e+09 0 -6.3626e-09 -0 -2.32117e-07 -4.71303e-09 -0 -0 -1.64956e-09 100 -0

## hdd:f2fs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.006504 45306549.000000 1509890.930481 30.2813 0.5 0 9.5 0.54 0.01 0 0.05 -4.24751e+09 0 -1.17716e-08 -0 -2.2366e-07 -1.27133e-08 -2.35432e-10 -0 -1.17716e-09 100 -0

## hdd:ext4:DWOL:3:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

3 30.000527 44150049.000000 1471642.431796 30.1676 0.5 0 15.24 0.2 0.15 0 0.04 -2.66386e+09 0 -1.87697e-08 -0 -5.72101e-07 -7.50789e-09 -5.63092e-09 -0 -1.50158e-09 100 -0

## hdd:ext4_no_jnl:DWOL:3:bufferedio
