### SYSTEM         = Linux ubuntu 4.4.0-87-generic #110-Ubuntu SMP Tue Jul 18 12:55:35 UTC 2017 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 7G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,3,4
### CORE_SEQ       = 0,1,2,3


### MODEL_NAME     = Intel Xeon E312xx (Sandy Bridge, IBRS update)
### PHYSICAL_CHIPS = 4
### CORE_PER_CHIP  = 1
### SMT_LEVEL      = 1


## ssd:ext4:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.014892 5285.000000 176.079258 30.1887 0.09 0 0.17 0.28 119.56 0 0.01 -3.40911e+07 0 -2.63999e-07 -0 -4.98665e-07 -8.21331e-07 -0.000350708 -0 -2.93333e-08 100 -0

## ssd:ext4_no_jnl:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.038535 5445.000000 181.267164 30.1325 0.08 0 0.16 0.16 119.67 0 0 -1.62527e+07 0 -4.92228e-07 -0 -9.84457e-07 -9.84457e-07 -0.000736312 -0 -0 100.001 -0

## ssd:xfs:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.027921 3555.000000 118.389816 30.1316 0.07 0 0.06 0.2 119.73 0 0 -2.65594e+07 0 -2.63562e-07 -0 -2.2591e-07 -7.53034e-07 -0.000450804 -0 -0 100 -0

## ssd:btrfs:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.068831 6931.000000 230.504472 30.2578 0.06 0 0.3 1.79 117.17 0 0 -3.6866e+07 0 -1.62752e-07 -0 -8.13761e-07 -4.85544e-06 -0.000317828 -0 -0 100 -0

## ssd:f2fs:DWOL:4:directio
